areacd,origin,destination,nomove,within,fromout,toout,to1cd,to1,to2cd,to2,to3cd,to3,from1cd,from1,from2cd,from2,from3cd,from3
E06000034,85938,82297,36718,25199,0,217,E07000066,3905,E09000016,3079,E09000002,1974,E07000066,3749,E09000016,2702,E09000002,2008
E06000035,132603,116112,59890,38350,0,321,E07000110,5462,E07000115,4483,E07000113,3771,E07000113,4268,E07000110,2989,E07000109,2207
E06000036,66390,59669,35704,11908,0,168,E06000041,3201,E06000040,3159,E07000214,1920,E06000041,2735,E06000040,1152,E07000089,1042
E06000037,82300,90934,44643,23880,0,167,E06000038,4773,E07000084,1608,E06000041,1150,E07000084,5361,E06000038,5115,E06000030,1536
E06000038,88873,89735,45572,23319,0,215,E06000041,5242,E06000037,5115,E07000179,2008,E06000041,6784,E06000037,4773,E07000179,1303
E06000039,73701,72876,32193,18814,0,202,E06000040,4793,E09000017,4423,E06000060,3966,E06000060,4004,E06000040,3302,E09000017,2546
E06000040,76300,79500,45197,13750,0,244,E06000039,3302,E06000060,2853,E09000017,1601,E06000039,4793,E06000036,3159,E06000060,2786
E06000041,89471,84889,54722,13581,0,231,E06000038,6784,E06000036,2735,E06000040,1805,E06000038,5242,E06000036,3201,E06000037,1150
E06000042,143375,153964,68394,57479,0,441,E06000056,3215,E06000062,2506,E06000060,2369,E06000062,6761,E06000056,5122,E06000055,3791
E06000043,139287,142882,77348,44623,0,365,E07000063,2544,E07000223,2419,E07000228,2352,E07000063,5209,E07000223,4128,E07000229,2638
E06000044,97788,103683,40698,37267,0,385,E07000090,4949,E07000087,3230,E07000225,1932,E07000090,7512,E07000087,4730,E07000088,3745
E06000045,118215,112782,50576,38171,0,425,E07000086,8868,E07000091,4302,E07000093,4275,E07000086,6884,E07000091,4956,E07000093,3175
E06000046,57923,56768,22650,32880,0,230,E06000058,465,E06000044,301,E06000045,235,E06000058,512,E06000044,100,E06000045,54
E06000047,222224,202737,83800,91482,0,1145,E08000024,11504,E08000037,7300,E06000005,6114,E08000024,8044,E06000005,3807,E08000037,3308
E06000049,192480,198244,89742,70737,0,567,E06000050,5617,E08000003,4665,E08000007,4192,E06000050,7157,E08000007,5467,E07000195,3476
E06000050,169077,169737,72953,59420,0,620,E06000049,7157,W06000005,5982,E08000015,4523,E08000015,7951,W06000005,7533,E06000049,5617
E06000051,152424,149816,64302,61200,0,517,E06000020,8945,W06000006,2122,E06000019,1671,E06000020,7636,W06000023,2660,W06000006,2323
E06000052,254262,248629,107330,133220,0,1131,E06000026,6095,E07000047,1370,E07000046,694,E06000026,3123,E07000046,981,E07000047,860
E06000053,1117,987,512,352,0,21,E06000052,197,E07000046,8,E06000026,7,E06000052,105,E07000214,2,E06000026,1
